"downloaded","item_id","item_definition","category","8","9","10","11","12","13","14","15","16"
2023-03-22,239,"پارک","outside",0,0,0.06,0,0,0,0.13,0,0
2023-03-22,240,"پشت بام","outside",0,0,0,0,0,0,0,0,0
2023-03-22,241,"تاب","outside",0,0.05,0.06,0.08,0.09,0.14,0.4,0,0.5
2023-03-22,242,"چرخ و فلک","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,243,"حیاط","outside",0,0.05,0.06,0,0,0,0,0,0.25
2023-03-22,244,"خانه","outside",0,0.05,0,0,0,0,0.07,0,0
2023-03-22,245,"خورشید","outside",0,0,0,0,0,0,0,0,0
2023-03-22,246,"درخت","outside",0,0.05,0,0,0,0,0,0.17,0
2023-03-22,247,"زیر زمین","outside",0,0.05,0,0,0,0,0,0,0
2023-03-22,248,"ساحل","outside",0,0,0,0,0,0,0,0,0
2023-03-22,249,"ستاره","outside",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,250,"سرسره","outside",0,0,0.06,0.08,0,0,0.2,0.08,0.25
2023-03-22,251,"شهربازی","outside",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,252,"فروشگاه/دکان/مغازه","outside",0,0.05,0.06,0,0,0,0.13,0,0
2023-03-22,253,"کوچه","outside",0,0,0.06,0,0,0,0.2,0,0
2023-03-22,254,"کوه","outside",0,0,0,0,0,0,0,0,0
2023-03-22,255,"ماه","outside",0,0,0,0,0,0,0.13,0,0.25
2023-03-22,256,"مدرسه","outside",0,0,0,0,0,0,0,0,0
2023-03-22,257,"مسجد","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,258,"أقا/ مرد","people",0,0.1,0,0,0.18,0.29,0.07,0,0.25
2023-03-22,259,"آدم/ آدمها","people",0,0,0,0,0,0,0,0,0
2023-03-22,260,"اسم خودکودک","people",0,0.05,0.06,0,0,0,0.13,0,0.25
2023-03-22,261,"بابا *","people",0.29,0.52,0.31,0.31,0.55,0.57,0.6,0.67,0.5
2023-03-22,262,"برادر / داداش *","people",0,0.1,0.06,0.08,0.27,0.29,0.4,0.25,0
2023-03-22,263,"بچه","people",0,0.05,0,0,0.09,0.07,0.33,0.08,0.25
2023-03-22,264,"پسر","people",0,0.05,0,0,0,0,0,0,0
2023-03-22,265,"پدربزرگ*","people",0,0.1,0.06,0,0.27,0,0.4,0.33,0.25
2023-03-22,266,"خاله","people",0,0,0.06,0,0.09,0.07,0.2,0.08,0
2023-03-22,267,"خانم/ زن","people",0,0,0,0,0,0,0,0,0
2023-03-22,268,"خواهر/ آجی/آبجی","people",0,0.05,0.19,0,0,0.14,0.13,0.17,0.25
2023-03-22,269,"دایی","people",0,0.1,0.06,0.08,0.09,0.21,0.4,0.25,0.5
2023-03-22,270,"دختر","people",0,0,0,0,0,0,0,0,0
2023-03-22,271,"شوهر","people",0,0.05,0,0,0,0,0,0,0
2023-03-22,272,"عمه","people",0,0.1,0.12,0,0.18,0.14,0.53,0.5,0.25
2023-03-22,273,"عمو","people",0,0,0.06,0,0,0,0.33,0.33,0.25
