Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1418,escalada,climbing,5.10,1.54,4.78,1.67,3.08,1.19,8,4,VC.CV.CV.CV,"N,V",11.842,1.109,4.073,7,1.400
1419,escalão,rank,2.60,1.46,3.44,1.67,3.89,1.32,7,3,VC.CV.CVV,N,14.568,1.192,4.163,3,1.750
1420,escândalo,scandal,3.73,1.97,2.91,1.72,4.33,1.48,9,4,VC.CVC.CV.CV,N,30.460,1.498,4.484,0,2.850
1421,escanzelado,skinny,3.86,1.79,3.83,1.93,2.37,1.05,11,5,VC.CVC.CV.CV.CV,ADJ,0.083,0.035,1.920,1,2.750
1422,escaravelho,beetle,5.11,2.07,6.47,1.05,2.90,1.04,11,5,VC.CV.CV.CV.CCV,N,0.322,0.121,2.508,0,3.800
1423,escasso,meagre,3.11,1.64,3.20,1.64,4.00,1.34,7,3,VC.CVC.CV,ADJ,6.678,0.885,3.825,1,1.900
1424,escavação,excavation,4.83,1.70,4.63,1.90,2.80,1.26,9,4,VC.CV.CV.CVV,N,2.804,0.580,3.448,0,2.450
1425,escoamento,drainage,3.73,1.75,4.22,1.81,2.91,1.06,10,5,VC.CV.V.CVC.CV,N,7.778,0.943,3.891,0,2.500
1426,escola,school,6.19,1.11,6.35,0.87,6.27,0.88,6,3,VC.CV.CV,N,198.448,2.300,5.298,7,1.300
1427,escolar,educational,4.54,1.75,4.51,1.96,5.48,1.28,7,3,VC.CV.CVC,"ADJ,N",38.418,1.596,4.585,6,1.500
1428,escolha,choice,3.18,1.69,3.00,1.98,5.79,1.20,7,3,VC.CV.CCV,"N,V",100.853,2.008,5.004,6,1.500
1429,escolta,escort,4.03,1.94,3.96,1.83,2.47,1.03,7,3,VC.CVC.CV,"N,V",2.961,0.598,3.471,2,1.650
1430,escorbuto,scurvy,3.41,2.01,4.08,2.14,1.60,0.61,9,4,VC.CVC.CV.CV,N,0.322,0.121,2.508,0,2.900
1431,escorpião,scorpion,6.00,1.48,6.55,0.88,3.36,1.52,9,4,VC.CVC.CV.VV,N,0.987,0.298,2.994,0,2.950
1432,escotilha,hatch,3.77,2.09,4.80,1.89,1.78,0.82,9,4,VC.CV.CV.CCV,N,0.454,0.163,2.657,1,2.450
1433,escova,brush,5.98,1.22,6.63,0.62,5.75,1.12,6,3,VC.CV.CV,"N,V",1.089,0.320,3.037,7,1.350
1434,escravidão,bondage,4.80,1.95,3.79,1.75,2.91,0.98,10,4,VC.CCV.CV.CVV,N,1.446,0.389,3.160,0,2.950
1435,escravo,slave,5.40,1.45,5.05,1.94,3.18,1.28,7,3,VC.CCV.CV,"ADJ,N",2.921,0.593,3.466,3,1.750
1436,escrita,writing,5.32,1.83,4.79,1.71,5.52,1.28,7,3,VC.CCV.CV,"ADJ,N,V",51.609,1.721,4.713,3,1.700
1437,escritor,writer,5.49,1.38,5.55,1.24,4.64,1.17,8,3,VC.CCV.CVC,N,57.681,1.769,4.761,1,1.800
1438,escritório,office,5.39,1.83,5.98,1.16,5.35,1.45,10,4,VC.CCV.CV.CVV,N,18.413,1.288,4.265,0,2.800
1439,escriturário,clerk,3.68,1.72,5.21,1.87,2.67,1.29,12,5,VC.CCV.CV.CV.CVV,N,0.498,0.176,2.698,1,3.300
1440,escrivaninha,writing desk,5.15,2.25,6.54,1.01,2.74,1.35,12,5,VC.CCV.CV.CV.CCV,N,0.376,0.139,2.575,1,3.550
1441,escudo,shield,5.03,1.91,5.30,1.85,3.21,1.25,6,3,VC.CV.CV,"N,V",42.972,1.643,4.633,6,1.600
1442,escultor,sculptor,4.90,1.63,5.87,1.36,2.88,1.11,8,3,VC.CVC.CVC,N,7.973,0.953,3.902,0,2.250
1443,escultura,sculpture,5.92,1.52,5.68,1.65,2.89,1.00,9,4,VC.CVC.CV.CV,N,18.652,1.293,4.271,1,2.100
1444,escumalha,scum,3.39,1.77,3.21,1.65,3.19,1.27,9,4,VC.CV.CV.CCV,N,0.239,0.093,2.379,1,2.800
1445,escuro,dark,6.00,1.04,4.26,2.01,5.42,1.25,6,3,VC.CV.CV,"ADJ,N",12.575,1.133,4.100,4,1.700
1446,esfera,sphere,5.79,1.60,5.45,1.94,3.36,1.35,6,3,VC.CV.CV,N,12.883,1.143,4.110,2,1.850
1447,esfomeado,hungry,4.92,1.86,4.08,1.99,5.23,1.54,9,5,VC.CV.CV.V.CV,"ADJ,N,V",0.376,0.139,2.575,1,2.350
1448,esforço,effort,3.98,1.91,3.03,1.66,5.38,1.12,7,3,VC.CVC.CV,"N,V",80.862,1.913,4.908,2,1.700
