Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
eenvoudig,5,5,6,4,4,1,6,6,5,4,4,4,4,1,2,6,5,2,2,5,4.05,1.64,0
eerbiedwaardig,3,2,7,3,3,NaN,4,2,6,5,1,4,1,2,4,2,4,2,1,5,3.21,1.72,0.05
eerder,2,1,1,4,5,1,1,1,3,4,3,5,1,2,4,1,5,1,1,3,2.45,1.57,0
eerlijk,3,4,7,4,6,7,6,1,5,5,6,5,5,2,5,5,5,3,1,6,4.55,1.76,0
eeuwig,5,4,6,3,6,1,7,2,7,5,7,2,6,6,4,3,6,1,4,4,4.45,1.96,0
effectief,7,7,6,6,6,7,4,7,6,5,7,4,5,4,4,5,3,4,4,4,5.25,1.33,0
effen,3,3,4,7,4,5,5,2,7,6,3,1,7,5,3,6,4,7,3,3,4.40,1.82,0
efficiënt,5,6,6,6,4,7,2,2,5,3,5,4,3,5,6,5,4,5,5,4,4.60,1.35,0
egaal,5,7,5,6,3,7,3,7,4,5,4,6,4,2,4,4,7,7,6,6,5.10,1.55,0
egoïstisch,7,7,4,5,6,6,2,4,5,3,2,6,3,2,5,4,5,2,3,5,4.30,1.66,0
eigenaardig,3,6,4,5,4,2,4,2,4,7,7,3,4,3,3,5,5,5,4,4,4.20,1.40,0
eigentijds,6,6,3,5,5,5,4,6,6,6,2,6,6,3,6,5,1,4,6,6,4.85,1.53,0
eindeloos,2,4,5,5,3,1,7,1,4,6,1,1,5,5,3,5,4,1,6,2,3.55,1.96,0
elegant,6,6,5,4,5,5,4,7,5,4,3,5,3,4,4,5,7,4,4,3,4.65,1.18,0
elliptisch,2,6,5,1,4,3,6,6,7,NaN,7,5,5,4,5,6,6,7,6,4,5.00,1.67,0.05
emotioneel,5,6,7,2,5,1,7,3,3,4,5,6,5,2,5,5,5,4,5,5,4.50,1.61,0
eng,4,4,4,5,4,5,5,6,5,5,1,4,3,5,3,4,7,4,3,3,4.20,1.28,0
Engels,3,2,5,7,7,7,7,7,6,7,7,4,7,5,6,7,7,4,7,6,5.90,1.55,0
enig,3,6,7,2,3,7,7,2,4,5,4,3,2,3,1,6,6,5,5,4,4.25,1.86,0
enkel,5,5,5,5,4,2,7,3,4,6,3,7,7,1,4,5,1,6,4,6,4.50,1.82,0
enkele,3,1,4,5,2,4,1,4,4,5,2,2,1,1,3,5,1,5,2,2,2.85,1.53,0
enorm,3,5,3,1,4,3,6,7,3,7,2,3,5,3,4,4,3,1,3,4,3.70,1.66,0
enthousiast,6,6,6,7,5,6,2,5,6,3,3,5,3,5,6,4,3,5,5,6,4.85,1.39,0
erg,6,6,5,1,4,2,3,5,4,2,2,3,3,5,1,7,6,4,1,4,3.70,1.84,0
ernstig,2,6,2,1,4,3,5,7,4,6,5,4,5,5,5,6,3,4,5,4,4.30,1.53,0
essentieel,5,5,3,4,4,4,3,5,5,5,7,5,3,5,3,5,4,2,3,4,4.20,1.15,0
euforisch,6,7,5,6,4,4,2,3,6,3,2,5,6,4,4,3,4,6,4,5,4.45,1.43,0
excellent,2,6,6,1,3,2,5,4,3,7,1,2,5,3,4,4,3,1,4,5,3.55,1.76,0
exclusief,2,6,7,4,7,6,7,5,7,5,2,5,7,2,4,5,5,2,7,6,5.05,1.85,0
exotisch,4,2,3,6,4,5,5,7,5,4,5,3,2,5,3,5,5,1,5,6,4.25,1.52,0
extra,2,3,1,3,7,1,3,1,5,6,5,5,3,2,5,5,4,2,1,7,3.55,1.99,0
extravert,5,4,4,6,5,4,3,2,2,4,3,5,5,2,4,4,4,4,5,4,3.95,1.10,0
extreem,2,5,7,6,6,7,5,5,5,4,1,6,5,3,4,2,2,3,5,6,4.45,1.76,0
fair,2,5,7,3,5,7,6,7,3,5,3,5,7,2,3,5,3,3,1,6,4.40,1.90,0
fantastisch,3,7,5,6,3,4,2,2,5,4,3,5,1,5,4,4,3,4,2,5,3.85,1.50,0
fatsoenlijk,3,3,7,5,4,3,3,2,5,6,7,3,4,6,3,5,6,2,4,5,4.30,1.56,0
